formatted_name;icon_file_name;traffic_light_name;thematic_label_en;thematic_label_ar
group_general_info;About;;General;عام
group_cccm;Camp-Coordination-and-Camp-Management;;Camp Management;إدارة المخيم
group_protection;Protection;;Protection;حماية
group_shelternfi;Shelter;;Shelter - NFI;المأوى - مواد غير غذائية
group_wash;Water-Sanitation-and-Hygiene;;Water, sanitation and hygiene;المياه والصرف الصحي والنظافة
group_nutrition;Nutrition;;Nutrition;تَغذِيَة
group_fs;Food-Security;;Food Security;أمن غذائي
group_health;Health;;Health;صحة
group_partner;Partnership;;Who is doing what?;من يفعل ماذا
