formatted_name;icon_file_name;icon_file_name_selected;label_en;label_fr;label_ar
Planned camps;planned_site;planned_site_selected;Planned site ;Site planifiés;الموقع المخطط
Spontaneous site;spontaneous_site;spontaneous_site_selected;Spontaneous site;Site spontané;موقع عفوي
Collective site;collective_site;collective_site_selected;Collective site;Site collectif;موقع جماعي
Coordination site;coordination_site;coordination_site_selected;Coordination site;Site de coordination;موقع التنسيق
Reception site;reception_site;reception_site_selected;Reception site;Site de réception;موقع الاستقبال
Spontaneous site;spontaneous_site;spontaneous_site_selected;Spontaneous site;Site spontané;موقع عفوي
Transit site;transit_site;transit_site_selected;Transit site;Site de transit;موقع العبور
Undefined site;undefined_site;undefined_site_selected;Undefined site;Site non défini;موقع غير محدد
